SegID	Urdu	Turk_Translation_1	Turk_Translation_2	Turk_Translation_3	Turk_Translation_4	Trigram_Lprob1	Penalty_Short1	Penalty_Long1	Edit_Distance1	Average_TER1	Bigram_mismatch_percentage1	Trigram_mismatch_percentage1	Trigram_Lprob2	Penalty_Short2	Penalty_Long2	Edit_Distance2	Average_TER2	Bigram_mismatch_percentage2	Trigram_mismatch_percentage2	Trigram_Lprob3	Penalty_Short3	Penalty_Long3	Edit_Distance3	Average_TER3	Bigram_mismatch_percentage3	Trigram_mismatch_percentage3	Trigram_Lprob4	Penalty_Short4	Penalty_Long4	Edit_Distance4	Average_TER4	Bigram_mismatch_percentage4	Trigram_mismatch_percentage4	
bbc_urd_20090102.0020__11	خارجہ امور کے وزیر مملکت نے کہا کہ فلسطین کا مسلہ اقوام متحدہ کی قراردادوں کے مطابق حل کیا جائے۔	Minister of foreign affairs said that issue of Palestine should be solved according to the resolutions of the United Nations.	minister of state for foreign affairs has said that the issue of Palestine should be resolved in accordance with the resolutions of the United Nations.	The prime minister of external affairs said that the issue of Falastin should be solved according to the planning of The United States.	The Minister of External Affairs of state said that the Palestine issues should be resolved according to the UN resolutions .	79.6417	27.7456647399	0.0	8.0	33.50503663	38.0952380952	57.1428571429	48.5484	12.7167630058	0.0	10.25	44.494047619	23.0769230769	30.7692307692	38.1925	21.9653179191	0.0	9.5	39.880952381	37.5	58.3333333333	39.2138	27.7456647399	0.0	11.75	46.4056776557	47.619047619	71.4285714286
bbc_urd_20090102.0020__12	عرب ملکوں سے تعلق رکھنے والے دو صحافیوں نے بھی اجلاس میں شرکت کی اور انہوں نے اجلاس میں فلسطین کی تازہ صورتحال کے بارے میں بتایا۔	Two reporters from Arab countries also attended the seminar and they told about the current situation about Palestine in the seminar.	two journalists from Arab countries also joined the conference and they told about the latest situation in Palestine.	Two generalists belonging Arab countries also attended the meeting and told about the fresh situation of Falastin.	Two journalists from Arab countries attended the meeting on the latest situation of Palestine.	94.0324	42.6724137931	0.0	7.75	45.730994152	31.8181818182	68.1818181818	38.2562	49.5689655172	0.0	6.75	37.7272727273	26.3157894737	68.4210526316	64.5305	50.8620689655	0.0	6.75	36.5390749601	44.4444444444	77.7777777778	48.7065	59.4827586207	0.0	7.25	36.5895800106	46.6666666667	66.6666666667
bbc_urd_20090102.0020__13	اُدھر اسلام آباد میں انٹرنیشنل یونیورسٹی کے طلباء نے فلسطین پر اسرائیلی حملوں کے خلاف احتجاجی مظاہرہ کیا۔	There in Islamabad, students of International University, Islamabad protested against the Israel attacks on Palestine.	in Islamabad, students of the International University demonstrated protest against the Israeli attacks on Palestine.	Here the students of International University in Islamabad made strike against Islaean attacks against Falastin.	On the other hand, the International University students went on a protest at Islamabad against the Israeli attacks on Palestine.	124.915	38.8601036269	0.0	7.75	39.2212566845	77.7777777778	94.4444444444	52.3755	39.378238342	0.0	7.25	34.8958333333	70.5882352941	88.2352941176	56.5948	41.9689119171	0.0	9.75	45.3060011884	75.0	93.75	46.4155	33.1606217617	0.0	10.25	59.2320261438	54.5454545455	86.3636363636
bbc_urd_20090102.0020__14	مظاہرین نے بینرز اور کتبے بھی اُٹھا رکھے تھے جس پر اسرائیل کے خلاف نعرے درج تھے۔	Protesters carried banners and placards, on which slogans against Israel were written.	the protesters were holding banners and placards having anti Israel slogans written on it.	The strikers hold banners and pads containing slogans against Israel.	The demonstrators also raised banners and slogans against Israel.	78.1207	40.2777777778	0.0	7.5	59.6212121212	64.2857142857	92.8571428571	31.5555	37.5	0.0	8.25	70.3571428571	40.0	93.3333333333	85.8726	52.0833333333	0.0	6.25	46.9047619048	90.9090909091	100.0	56.4483	54.8611111111	0.0	6.5	45.7683982684	60.0	100.0
bbc_urd_20090103.0008__1	فلو سے بچنے کے لئے ڈائٹنگ سے اجتناب	Avoiding dieting to prevent from flu.	abstention from dieting in order to avoid Flu.	Abstain from decrease eating in order to escape from flue.	In order to be safer from flu quit dieting.	68.4137	41.2698412698	0.0	5.25	49.8484848485	71.4285714286	100.0	66.4837	26.9841269841	0.0	5.5	55.0649350649	55.5555555556	77.7777777778	94.9028	7.93650793651	0.0	6.0	67.7380952381	54.5454545455	72.7272727273	93.9393	31.746031746	0.0	6.25	64.1053391053	60.0	80.0
bbc_urd_20090103.0008__2	امریکی سائنسدانوں کی یہ تحقیق چوہوں پر کئے گئے تجربات کے بعد سامنے آئی ہے۔	This research of American scientists came in front after experimenting on mice.	This research from the American Scientists have come up after the experiments on rats.	This research of American scientists was shown after many experiments on mouses.	According to the American Scientist this research has come out after much experimentations on rats.	76.9409	41.0447761194	0.0	6.75	45.2884615385	46.1538461538	100.0	79.8262	35.8208955224	0.0	6.75	46.7548076923	40.0	80.0	82.801	40.2985074627	0.0	6.5	43.6217948718	46.1538461538	100.0	38.6094	26.1194029851	0.0	8.5	61.1538461538	50.0	87.5
bbc_urd_20090103.0008__3	تجربات سے یہ ثابت ہوا کہ کم کیلوریز والی خوراک پر رکھے گئے چوہوں میں فلو کے وائرس سے نمٹنے کی صلاحیت نسبتاً کم ہوگئی۔	Experiments proved that mice on a lower calorie diet had comparatively less ability to fight the flu virus.	in has been proven from experiments that rats put on diet with less calories had less ability to resist the Flu virus.	It was proved by experiments the low calories eaters mouses had low defending power for flue in ratio.	Experimentaions have proved that those rats on less calories diet have developed a tendency of not overcoming the flu virus .	178.982	49.0476190476	0.0	11.5	54.1489593549	47.3684210526	78.9473684211	108.068	43.8095238095	0.0	13.5	66.290726817	39.1304347826	82.6086956522	140.184	51.4285714286	0.0	13.75	65.536122916	57.8947368421	94.7368421053	81.6388	40.4761904762	0.0	12.75	59.2677345538	38.0952380952	80.9523809524
bbc_urd_20090103.0008__4	تحقیق نے اس پرانی کہاوت کو غلط ثابت کردیا ہے کہ ’بخار میں فاقہ کرنا بہتر ثابت ہوتا ہے‘۔	Research disproved the old axiom that " It is better to fast during fever"	research has proven this old myth wrong that its better to fast during fever.	The research proved this old talk that decrease eating is useful in fever.	This Research has proved the very old saying wrong that it is good to starve while in fever.	48.3702	53.164556962	0.0	8.75	69.5050125313	60.0	93.3333333333	49.6758	51.2658227848	0.0	8.0	50.7518796992	33.3333333333	86.6666666667	89.8154	53.164556962	0.0	8.75	53.5087719298	50.0	92.8571428571	51.8672	41.7721518987	0.0	9.5	64.2669172932	36.8421052632	73.6842105263
bbc_urd_20090103.0008__5	سائنسدانوں کے مطابق بخار کے دوران خوب کھائیں پئیں۔	According to scientists, eat a lot during fever.	according to the scientists one should eat a lot during fever.	Eat and drink more in fever according to scientists.	According to the scientist a patient should eat more while in fever.	33.0364	47.8260869565	0.0	5.25	43.7179487179	60.0	80.0	38.3898	32.6086956522	0.0	5.5	48.4615384615	33.3333333333	66.6666666667	30.803	43.4782608696	0.0	8.0	59.9038461538	50.0	100.0	33.2409	26.0869565217	0.0	6.75	62.0833333333	38.4615384615	100.0
bbc_urd_20090103.0008__6	مشیگن سٹیٹ یونیورسٹی کے تحقیقات کاروں  کا کہنا ہے کہ ڈائیٹ لینے والے چوہوں میں انفیکشن سے لڑنے کی صلاحیت بہت کم پائی گئی اور ان کے مرنے کا امکان بھی بڑھ گیا جبکہ معمول کی خوراک لینے والے چوہوں میں فلو کے وائرس کے خلاف قوت مدافعت زیادہ تھی۔	Researchers of the Michigan State University say that mice getting diet food were found to have very less ability to fight the infection and their chances of death also increased. On the other hand, mice getting regular diet had more energy against the flu virus	the researchers from the Michigan State University say that the rats on dieting had less power to resist the infection and their chances of dying had increased whereas rats on normal diet had better resistance against the Flu virus.	It is the saying of the researchers of Machigan State university that the low eater mouses had the low defending power against infection and their death chances decreased although the more eaters mouses had the high power against flue virus.	According to the Researchers of the State of Michigan University diet taking rats have less strength to fight with the infection and also their chances of death increased whereas earlier those rats on common diet had more strength to fight with the flu virus.	352.895	38.785046729	0.0	25.0	55.6012872629	39.1304347826	78.2608695652	181.735	45.7943925234	0.0	22.25	47.6543850545	42.5	82.5	250.355	43.691588785	0.0	26.75	58.4072104019	48.7804878049	90.243902439	206.494	39.4859813084	0.0	24.0	53.1100804359	46.6666666667	73.3333333333
bbc_urd_20090103.0008__7	پروفیسر الزبتھ گارڈنر کے مطابق ڈائٹنگ کرنے والے افراد فلو سے نہ صرف بہت جلد متاثر ہوجائیں گے بلکہ انہیں صحتیاب ہونے میں بھی زیادہ وقت لگے گا۔	According to Professor Elizabeth Gardner, people who do dieting will not be effected with flue sooner but also they will take more time to recover from it.	In many modern countries it has for sometime being fashionable to think that, by free education for all-whether rich or poor, clever or stupid- one can solve all the problems of the society.	Professor Elizabeth Gardner said that those who are dieting are not only sooner affected by the flu, but also take longer to recover.	According to the Professor Elizabeth Cardener The people on dieting will be more infectious to the flu virus and will also take long time to recover from this disease.	172.614	39.2156862745	0.0	18.0	56.7777777778	34.4827586207	65.5172413793	145.532	25.4901960784	0.0	25.75	91.4770114943	33.3333333333	69.4444444444	179.697	47.8431372549	0.0	19.0	57.6293103448	40.0	68.0	166.341	34.5098039216	0.0	18.75	60.9607279693	33.3333333333	70.0
bbc_urd_20090103.0008__8	ان کا یہ بھی کہنا ہے کہ وہ افراد جو فلو کی ویکسین لے چکے ہیں انہیں بھی موسم سرما کے چند ماہ کے دوران ڈائٹنگ سے اجتناب کرنا چاہیئے۔	she also said that those people who have taken the flue vaccine should also avoid dieting during few months of winter.	But we can already see that free education for all is not enough; we find in such countries a far larger number of people with University degrees than there are jobs for them to fill.	She also said that those who have taken flu vaccines should also avoid dieting for a few months during the winter.	HE also says that those people who have taken Flu vaccinations also should quit dieting during few months of summer to keep this virus away.	89.9896	48.9177489177	0.0	14.0	44.5638820639	31.8181818182	54.5454545455	114.976	20.7792207792	0.0	25.5	109.965034965	18.9189189189	51.3513513514	128.499	50.6493506494	0.0	15.0	47.4484974485	27.2727272727	54.5454545455	79.2347	39.3939393939	0.0	16.0	55.9275184275	38.4615384615	69.2307692308
bbc_urd_20090103.0021__1	’پہلا جوہری تجربہ 1990 میں کیا تھا‘	'first nuclear experiment was done in 1990'	This plan of education was implemented on 1990.	First nuclear test was done in 1990	The first nuclear test was in 1990.	22.2374	30.6451612903	0.0	3.75	51.6865079365	50.0	87.5	19.8784	24.1935483871	0.0	5.0	72.3214285714	33.3333333333	88.8888888889	64.7754	43.5483870968	0.0	3.5	42.6587301587	28.5714285714	85.7142857143	24.3833	43.5483870968	0.0	3.75	52.380952381	37.5	100.0
bbc_urd_20090103.0021__2	تھامس ریڈ  نے جو امریکہ کی لیور نیشنل لیبارٹری میں ویپن ڈیزائنر کے طور پر کام کرچکے ہیں یہ کتاب لاس ایلموس نیشنل لیبارٹری کے ٹیکنیکل انٹیلجنس کے سابق ڈائریکٹر ڈینی سٹلمین کے تعاون سے لکھی ہے۔	Thomas Reid who has worked in the Lever national laboratory of America as a Weapon designer, has written this book with the help of the Ex director of technical intelligence at Las Elmos national laboratory, Dani Stillman.	Because of their degrees, they refuse to do what they think low work and in fact work with the hands is thought to be dirty and shameful in such countries.	Thomas Reid, who worked in the Leur National Laboratory as a weapon designer had written this book with the help of Los Alamos National Laboratory's former Technical Intelligence Director, Danny Staleman.	Thomas red who was a former director of the Cooperation in the National Laboratory technical committees in Los Angeles, United States has written this book.	268.191	35.652173913	0.0	23.75	70.5464616402	55.0	80.0	73.5783	55.0724637681	0.0	24.75	73.7599206349	18.75	56.25	301.825	40.8695652174	0.0	21.25	61.8981481481	62.8571428571	80.0	75.4874	54.7826086957	0.0	23.75	58.7946428571	51.8518518519	74.0740740741
bbc_urd_20090103.0021__3	یہ کتاب ’نیوکلیئر ایکسپریس: بم کی سیاسی تاریخ اور اس کے پھیلاؤ‘ کے عنوان سے لکھی گئی ہے اور اس میں دونوں مصنفین نے دعوی کیا ہے کہ جس ملک نے بھی ایٹم بم بنایا ہے اس نے یا تو کسی دوسرے ملک کے جوہری راز چرائے ہیں یا پھر اسے کسی دوسری جوہری طاقت کا تعاون حاصل رہا ہے۔	this book was titled, 'Nuclear Express: political history of bomb and its proliferation' and both writers have claimed that which ever country first made a nuclear bomb either stole the nuclear secrets of another country or they had the support of another nuclear power.	The work of a completely uneducated farmer is far more important than that of a professor: we can live without education, but we die if we have no food. If no one cleaned our streets and took the rubbish away from our houses, we should get terrible diseases in our towns.	In this book, called 'Nuclear Express', the political history of the bomb and its spread, both the authors claim that whichever country made an atom bomb either stole the nuclear secrets from another country or they got help from a nuclear power.	The book with the title 'nuclear express the political history: bomb and the proliferation' was written by two writers says that the country has also tested the atom bomb and has nuclear secrets.	171.956	42.3076923077	0.0	28.5	60.8850931677	25.0	79.1666666667	146.975	42.094017094	0.0	38.25	92.5198229153	27.2727272727	61.8181818182	188.205	47.4358974359	0.0	28.0	58.7556990881	25.5319148936	70.2127659574	176.473	58.3333333333	0.0	31.25	60.8414827541	25.0	66.6666666667
bbc_urd_20090103.0021__4	تھامس ریڈ نے یوایس نیوز کو ایک انٹرویو میں کہا ہے کہ انیس سو نوے میں بے نظیر بھٹو کے دور میں چین نے پاکستان کے پہلے جوہری بم کا تجربہ کیا تھا۔	in an interview with US news, Thomas Reid said that in 1990 during Benazir Bhutto's rule, China experimented Pakistan's first nuclear bomb.	In fact, when we say that all of us must be educated to fit us for life, it means that we must be educated in such a way that, firstly, each of us can do whatever job is suited.	Thomas Reid said in an interview with US News, that China tested Pakistan's first atom bomb in 1990, during the term of the Prime Minister Benazir Bhutto.	Thomas red has said in an interview to the USAID news in 1970 that when Benazir Bhutto was the leader in Pakistan in 90's, China had tested its first nuclear bomb experiment.	199.108	44.8412698413	0.0	22.25	51.7358116267	66.6666666667	85.1851851852	251.688	29.7619047619	0.0	29.75	97.9004146461	22.7272727273	56.8181818182	189.64	38.8888888889	0.0	22.5	54.6209645474	58.064516129	80.6451612903	85.4038	30.9523809524	0.0	23.0	63.3784077332	48.5714285714	80.0
bbc_urd_20090103.0021__5	تھامس ریڈ نے کہا کہ کئی وجوہات کی بنیاد پر انہیں اس بات کا یقین ہے کہ چین نے پاکستان کے پہلے جوہری بم کا تجربہ کیا تھا۔	Thomas Reid said that based to many reasons, he has a belief that China had experimented Pakistan's first nuclear bomb.	Education is not an end but a means to an end. In other words we do not educate children only for the purpose of educating them.	Thomas Reid said that due to many factors, he is certain that China tested Pakistan's first nuclear bomb.	Thomas red said that there are many reasons to believe China has tested its first nuclear bomb.	99.7589	43.6018957346	0.0	11.25	49.6031746032	47.8260869565	91.3043478261	52.7598	39.336492891	0.0	18.75	95.3243616287	14.8148148148	48.1481481481	108.32	50.2369668246	0.0	11.0	47.4896480331	47.619047619	85.7142857143	57.9237	54.9763033175	0.0	12.5	51.6304347826	33.3333333333	66.6666666667
bbc_urd_20090103.0021__6	وجوہات میں اس بم کا ڈیزائن اور چین کے سائنسدانوں سے گفتگو کے دوران حاصل کردہ معلومات شامل ہیں۔	the reasons include the design of the bomb and some information retrieved during talks with the Chinese scientists.	When men become organized in to very large groups and civilization and develops.	Among the factors are the design of the bomb, and information he gathered from Chinese scientists.	There are informations that China has scientists who had designed the bomb.	50.1741	32.3529411765	0.0	11.25	78.7240537241	26.3157894737	63.1578947368	74.0797	52.9411764706	0.0	11.75	70.9064327485	21.4285714286	78.5714285714	50.7501	42.3529411765	0.0	10.5	70.5754771544	38.8888888889	77.7777777778	80.4547	55.8823529412	0.0	11.5	66.4160401003	69.2307692308	100.0
bbc_urd_20090103.0021__7	انہوں نے مزید کہا کہ یہی وجہ تھی کہ انیس سو اٹھانوے میں پاکستان صرف دو ہفتوں اور تین دن کے اندر بھارت کے جوہری تجربے کے جواب میں جوہری تجربہ کرنے کے قابل ہو گیا تھا۔	he further added that this was the reason that in 1998 only in a span of two weeks and three days, Pakistan was able to carry out nuclear experiments as a reply to Indian nuclear experiments.	It is possible to get freedom from hunger, thirsty, cold, heat and many diseases, so that each person can live a happier life than he could.	He further added that that was the reason that Pakistan was able to reply to India's Nuclear test with a nuclear test in just 2 weeks and 3 days.	He further said that this was the reason why India and Pakistan tested the nuclear bomb in 1990 within just two weeks.	86.02	35.0340136054	0.0	22.75	76.9284712482	18.4210526316	57.8947368421	61.6897	52.380952381	0.0	23.25	78.0837085702	32.2580645161	74.1935483871	101.392	50.6802721088	0.0	20.0	62.8091090278	32.2580645161	64.5161290323	117.942	59.8639455782	0.0	19.5	58.0857385399	30.4347826087	69.5652173913
