urd-wl-83-174268-11364090-post1__3	میری نظر میں تو یہ ان کا شرعی حق ہے آپ کیا کہتے ہیں؟	In my opinion, this is religious right, what do you say?	In my point of view, it is their religious right, what do you say?	I believe this is his legitimate right. What do you say?	In my opinion they have the right? what would be ur opinion?	-29.9794	-35.745	-31.4313	-71.4188	-28.4531	-32.8619	-30.5093	-70.3788
urd-wl-83-174268-11364090-post6__2	ایک بیوی تک کو یہ تو منظور ہے کہ میاں حرام توپیاں کرتا پھرے لیکن اسکو دوسری شادی نہیں کرنے دیتی۔	It is acceptable for a wife that her husband does unlawful actions but she does not let him marry another woman.	The feeling of a wife is, her husband can do lots of bad things whatever it may be, but he doesnot has the marry again	A wife can accept her husband going around having illicit relations, but she cannot stand him having a second wife.	Even a wife is agreed on the unethical activities of her husband but does not allow her for second marriage.	-64.3659	-111.645	-69.1689	-57.0931	-65.5098	-112.293	-70.4762	-60.3082
urd-wl-83-174268-11364090-post6__3	اگر بس میں ہو تو اپنے مرنے کے بعد بھی نا کرنے دے۔	If its in her power, she will not let him do so even after she dies.	if she has the potency she will try even after her death	If possible, stop him from doing so, even after you die.	If she had the power She wont allow him of this even after her death.	-47.3134	-39.8264	-32.9249	-47.0695	-46.733	-42.7067	-33.1797	-49.263
urd-wl-83-174268-11364090-post6__4	میاں کے ساتھ ساتھ اپنی آخرت بھی برباد کرتی ہے اور معاشرے میں گندگی پھیلنے کا ایک بڑا سبب بھی۔	Destroys her afterlife along with her husbands'.And also lets spreading of the immorality in the society.	Along with her husband, she also losing the life after death, and she is one for the evils things in the environment	She destroys her husband and her own hereafter, and becomes a cause for spreading filthiness in the society.	Along with husband spoils her afterlife too and causes an increase in corruption in society.	-131.529	-61.1032	-126.438	-85.7793	-132.67	-62.711	-127.379	-85.8562
urd-wl-83-174268-11364090-post7__1	اسلام اسلام کا راگ الاپنے سے کچھ نہیں ہوتا ہم حقیقتاُ وہی پسند کرتے ہیں جو ہمارے رسم و رواج ہوتے ہیں۔	Nothing happens with singing about Islam. We actually like what our traditions and cultures are.	Saying Islam, Islam from the mouth does not do any thing, we like the thing which are there in rituals	Chanting Islam, Islam does not mean anything. In reality, we like only our culture and traditions.	The customs of US and Islamabad are not really the same as said by the tourists	-51.4735	-67.8617	-58.5263	-42.5899	-49.5401	-66.6257	-55.0459	-43.7177
urd-wl-83-174268-11364090-post7__2	مثلاً ونی، کاری، لڑکیوں کو تعلیم سے بے بہرہ رکھنا اور پسند کی شادی پر ڈز۔	For example, keeping girls from getting education and fear of love marriage.	like, demotivation for the girls education, and love marriage, etc.,	For instance keeping girls from gaining education and fearing marrying the girl of ones choice.	Like that of the the culture of the girls, education, marriages etc.	-39.9005	-46.288	-59.9744	-38.0065	-39.7746	-46.5925	-60.6507	-37.5458
urd-wl-83-174268-11364090-post7__3	رہا آپ والا سوال تو بڑے صاحب بیوہ کو گھر لانے کے بجائے خود کسی بیوہ کے گھر چلے جاتے تو وارثین اوپر اوپر سے شورو غوغا کر کے چُپ اور مطمئن ہوجاتے (ہاں بیوہ کے وارثین کے پیٹ میں پھر مروڑ اُٹھتی)۔	And about your question, when sir instead of bringing his wife home, goes to someone else's wife so the dependents just make a fuss for the show and stay quiet and satisfied. ( yeah, later the relatives of the wife get angry)	now your Question is, if the big brother rather bringing the widow to his home, he might have went to her home itself, then there will no querrals from his children, (they quarrel may be in the widows children)	As for your question about the old man going to the widows house instead of bringing the widow to his house, so that the children could make some fuss and then become quiet and relax, (though the stomach of the widows children would hurt).	The question is that, the widow of the house have a abdominal contraction again.	-220.296	-227.499	-169.991	-74.2764	-219.601	-231.742	-169.813	-74.9334
urd-wl-83-174268-11364090-post9__1	برصغیر پاک و ہند میں ہم نے اسلام تو صدیوں پہلے قبول کر لیا مگر اس جاہلانہ سوچ سے پیچھا آج تک نہ چھڑا سکے اور رسم و رواج کو اسلام سے مقدم ہی جانا۔	In the Indian subcontinent, we accepted Islam centuries ago but we could not let go of this illiterate thinking and always thought of culture and tradition as more valuable than Islam.	We embraced Islam even before the separation of hindustan and Pakistan, but we have not came out of such evil thinking and this ritual are a more important than islam	In the Indo Pak subcontinent, Islam was accepted centuries ago, but it could not yet leave its ignorant mentality and has always kept culture and tradition above Islam.	In IndopPak we embraced Islam centuries ago but can't get rid of this unlettered thinking and considered traditions and customs superior then Islam.	-96.4695	-120.95	-165.714	-156.61	-93.3622	-122.528	-166.782	-155.052
urd-wl-83-174268-11364090-post9__2	مرد کی دوسری شادی کو واہیات، طلاق کو کلنک کا ٹیکا، طلاق یافتہ عورت کو اچھوت، پسند کی شادی کو عزت پر داغ اور مرد کی اپنے سے بڑی عمر کی عورت سے شادی کو اس عورت کی مکاری کا نتیجہ سمجھنا اسی سوچ کی وجہ سے ہی ہے۔	Considering man's 2nd marriage as ridiculous, divorce as denigration, divorced as untouchable, love marriage as dishonor and considering a man marrying an older women is dissimulation of the women is only the result of this way of thinking.	The second marriage of a man is bad, Divorce is known to be bad, The divorced women is a untouchability sin, love marriage is the bad impression, the marriage of a man with a elder woman is said to be the evil plan of the woman. the above things are of such evil thinkings	Thinking of a man's second marriage as an innovation, divorce as a clinical rest, divorced woman as untouchable, love marriage as a mark on honor and a man marrying a woman elder to him as a deception on the part of the wife, is all a part of this mentality.	Second marriage of man as ridiculous, divorce as stigma, divorced woman as untouchable, love marriage as disgrace and man's marriage with an elder woman as the result of her cunningness is all because of such thinking.	-240.798	-244.816	-194.812	-200.794	-239.457	-243.732	-192.723	-201.606
urd-wl-83-174268-11364090-post9__3	اور تو اور مغربی اقوام کی نقل میں ہم پرہیزگاری اور پردے کو دقیانوسی قرار دیتے ہیں۔	And over all, by copying the western world, we are declaring the religious and veil as old fashioned.	and we think that if we wont follow modernism, we considered to a old thinking man	What's more, in mimicry of the western countries, we have started to consider piety and veil as old fashioned.	Moreover to copy the western nations we declare veil and worship backward.	-55.8175	-87.5185	-91.0041	-48.1003	-58.256	-88.1896	-91.7102	-48.5045
urd-wl-83-174268-11364090-post9__4	اسلام قبول کرنا تو آسان تھا اس سوچ سے پیچھا چھڑانا بہت مشکل۔	Accepting Islam was easy, getting rid of this way of thinking is very hard.	Embracing islam is easy, but to come out from such evil thinking is some what impossible	Accepting Islam is easy, but leaving this mentality is very tough.	It was easy to embrace Islam to get rid of such thinking is very difficult.	-41.4088	-55.1358	-40.0548	-35.9077	-39.3781	-56.6675	-41.2768	-35.3271
urd-wl-83-174268-11364090-post9__5	اللہ ھم سب کو اس کی ہمت اور جراٰت عطا فرماےء۔	Allah give us courage and Daringness.	Allah bless us with the ability and courage to do this task.	Allah grant us all spirit and courage for this.	Allah bless us all the courage for it.	-59.863	-36.8456	-30.8688	-28.9355	-60.34	-37.2009	-31.2515	-30.3518
urd-wl-83-174268-11364090-post9__6	آمین۔	Amen.	Ameen.	Amen	Amen.	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141
urd-wl-83-174268-11364090-post9__7	اردو لکھنا اتنا کٹھن تو کبھی نہ تھا۔	it was not really difficult to write Urdu ever before.	It was never that difficult to write Urdu.	Writing Urdu was never so difficult.	Writing Urdu was never that difficult.	-59.4877	-59.9674	-58.5297	-61.1588	-59.9753	-60.5471	-58.7173	-61.2989
urd-wl-83-174268-11364090-post9__8	صدیاں بیت گیںٰ اتنا سا لکھتے لکھتے۔	decades gone to writes that little.	It took century's to write this little.	Century passed writing such little writing	Centuries passed in writing this little.	-24.1727	-24.6292	-29.3729	-23.645	-24.3002	-24.6273	-29.3729	-23.7628
urd-wl-83-174268-11364090-post9__9	تھوڑے کو بہت جانیے۔	consider more to less.	Think of this less as a lot.	Know that little is much.	Consider it enough.	-15.1299	-20.7744	-16.712	-10.9162	-15.7463	-19.7346	-17.4318	-11.8036
urd-wl-83-174268-11364090-post9__10	اللہ حافظ۔	Allah Hafiz.	Good Bye.	Allah Hafiz	Allah Hafiz.	-49.4018	-45.8904	-49.4018	-49.4018	-49.4018	-46.0354	-49.4018	-49.4018
urd-wl-84-174269-11325244-post5__1	امیر تیمور اپنی کتاب “ میں ہوں تیمور “ میں لکھتا ہے کہ میں نے اپنی زندگی میں یہ راز پایا کہ اگر کسی فوج کا سپہ سالار صف اول میں ہوگا تو وہ فوج کبھی ناکام نہیں‌ہوگی۔	Amir Taimoor Write on his book "i am Tamioor" thati have discovered secret in my life that if any force commander in chief on the first raw so that force never loss.	Ameer Taimur in his book "I am Taimur" writes I found the secret in my living time that if the commander of any army is present on the front line then that army will never be defeated.	Ameer Taimoor in his book "I am Taimoor" writes that i found this secret in my life that if leader of any Army is in front line then that Army will never lose.	Amir taymoori in his book "Main hoon Taymoor" writes I realized in my life a secret that if the military commander of the military is in first row then that military would never loose.	-252.04	-222.102	-209.218	-295.84	-253.921	-221.74	-211.769	-297.161
urd-wl-84-174269-11325244-post5__2	لیکن ادھر تو حالات ہی اور ہیں	but that circumstances different there.	But here the things are altogether different.	But here situation is else.	But here the situations are different here	-16.8442	-18.8422	-16.1181	-21.7374	-17.4045	-18.3904	-16.2161	-20.8972
urd-wl-84-174269-11325244-post5__3	یہ کہتے ہیں عوام تو ہوتی ہی ہمارے لیے مرنے کے لیے ہم مریں تو شہید	it was said lay folk die for our self we die so martyr.	They say the population is by default for getting killed for us.	To say that Common people are there to die for us if we die then martyr	they said this that people are present only to die for us if we die then are pious	-87.7422	-34.8876	-47.6927	-53.5095	-88.1136	-35.5396	-48.0505	-54.0407
urd-wl-84-174269-11325244-post5__4	عوام میں سے کوئی مرے تو قتل	if some one die form Lay folk so killed.	If anyone dies from the population, it is considered Murder.	if someone from common people dies then murder	If people die then murdered	-40.7761	-30.0744	-30.6222	-18.2465	-41.25	-30.1548	-30.2936	-18.6591
urd-wl-84-174269-11325249-post1__1	السلام علیکم ورحمۃ وبرکاتہ،	May Allah bless and have mercy on you.	May peace and blessing of Almighty be upon you.	AsSalaamu Alaikum wa Rahmatullahi wa Barakatuhu (greeting)	Assalamwalekum Rehmate Barkatahu	-35.229	-33.8171	-283.397	-122.942	-36.5859	-36.2434	-283.397	-122.942
urd-wl-84-174269-11325249-post1__2	آج رات عشاء کی نماز کے بعد میں وآپس دکان کی طرف آرہاتھاکہ ایک آدمی نے جوکہ ایک گاڑی میں بیٹھاہواتھااس نے ہاتھـ اٹھایااورمجھے اپنی طرف متوجہ کیا۔	When I was coming back to the shop after Isha prayer tonight, one man who was sitting in car, raised his hand and asked me to come.	I was coming back to my shop after the Isha prayer tonight, a man who was sitting in his car waved at me and called.	Today, as I was returning to my shop, after Isha prayer, when a man sitting in a car at the circle raised his hand and diverted my attention towards him.	Tonight after Ishan's namaz i was heading towards the shop on the way a person attracted my attention towards him.	-115.854	-114.643	-134.416	-136.524	-113.815	-113.627	-137.19	-138.591
urd-wl-84-174269-11325249-post1__3	میں نے سوچاکہ شایدکے یہ آدمی راستہ بھول گیاہے یاکچھـ پوچھناچاہتاہے میں رک گیاتواسکی گاڑی میں اسکی پوری فیملی بیٹھی ہوئی تھی۔	I thought may be this man has forgotten his way or may be he wants to ask something. I stopped so his whole family was in his car.	I thought that probable this man has lost his way or wants to ask something, I stopped as his whole family was sitting in the car.	I thought this man might have lost his way, or he might want to ask something, so I stopped, and his whole family was sitting in the car.	I thought this person has lost his way or wanted to ask something to me i stopped i saw his whole family along him.	-83.8968	-75.2116	-79.0927	-68.2853	-86.3244	-76.1482	-79.9873	-67.4074
urd-wl-84-174269-11325249-post1__4	اس نے اپنامدعابیان کیاکہ میں عربی اچھی طرف سمجھـ سکتاہوں کہ نہیں میں نے کہاکہ کوئی مسئلہ نہیں ہےآپ بتاؤکہ کیابات ہے؟	He asked if I can understand Arabic very well or not. I said that there is no problem. You tell me what is the matter.	he asked me if I could speak and understand Arabic, I said no problem, you tell me what's up?	He asked whether I could understand Arabic well or not. I said no problem, tell me what you want.	He narrated his topic i fluently understand Arabic i told no problem tell me your problem?	-61.2347	-60.2687	-56.7678	-133.954	-55.6611	-57.071	-52.2959	-135.661
urd-wl-84-174269-11325249-post1__5	اس نے کہناشروع کیاکہ میں ریاض سے آیاہوں یہاں مدینہ میں لیکن کسی نے میری جیب کاٹ لی ہے آپ براہ مہربانی کوئی مدد کریں میں نے کہا کہ معاف کرو بھائی، کیونکہ ایساہی ایک واقع میرے ساتھـ پہلے ہوچکاہے کہ میں نے اس بندہ کوبیس ریال دئیے کہ اس سے پٹرول بھرا کرریاض چلے جاؤ لیکن اس نے تھوڑا ساآگے جاکرپھروہی کام شروع کردیا۔	He started saying, I have come from Riyadh but here some one in Medina picked my pocket if you please help me. I said forget about it.Because this has happened with me earlier also as I gave this man 20 riyals to pay for gas and go back to Riyadh but he started doing the same thing after moving forward a little.	he started telling that he has come from Riyadh and here in Medina someone picked my pocket, kindly help me. I said please go away brother, since such an incident has already taken place with me that I gave this man 12 riyals so that he could reach Riyadh, but he started doing the same after moving a little farther.	He started to say that I have come from Riyadh, to Madinah, but someone has pick-pocketed me, so please help me out. I asked him to excuse me, as such an incident had taken place with me previously, that I had given the person 20 Riyals to buy petrol to reach Riyadh, but he went a little ahead and started to ask somebody else.	He started narrating i came from Riyadh here in someone has pick pocketed me you kindly help me out i told i am sorry brother, because this kind of situation is also faced by me before i gave him 20 Rial and guided him to fill petrol and head back to Riyadh but he after moving a certain distance started the same business	-265.535	-230.678	-292.977	-282.304	-268.005	-228.772	-292.399	-287.821
urd-wl-84-174269-11325249-post1__6	مجھے بڑا غصہ آیامیں نے اس کو بہت بولااورسپاہی کی دھمکی دی تووہ نودوگیارہ ہوگیا۔	I got really angry and when I told him and threaten him of a cop, he vanished from there.	I was furious, I cursed him and threatened him of the Police, then he ran away.	I got very angry and scolded him and warned him that I would call the soldiers, so he got very frightened.	I got very angry and said him a lot and thretened him of cops so he left the place immediately	-96.4932	-58.6405	-103.439	-100.782	-95.5393	-60.2695	-103.958	-102.872
urd-wl-84-174269-11325249-post1__7	تواب یہ حالت ہوگئی ہے ہم مسلمانوں کی مانگنے کے لئے بھی گاڑیوں پرسوارہوکرساتھـ فیملی کے ساتھـ آتے ہیں اوردن بھرمیں کم ازکم دوتین ہزارکی دھاڑی لگاتے ہیں۔	So now this is the condition of us Muslims that even when we come to beg money, we come with families riding in cars and daily manage to get at least 2 to 3000.	this is the situation of Muslims now that even for begging we ride our cars along with our families and make at least 2 to 3 thousand a day.	Now the situation has become, that we Muslims come on cars, with our families to beg throughout the day and gain at least two or three thousand illegally.	Si this has been the situation of Muslims now for begging too we use vehicles and come with our families and through out the day cheat three thousand from people	-133.376	-83.7481	-80.5572	-96.5327	-129.833	-84.3004	-80.1062	-98.6853
urd-wl-84-174269-11325249-post1__8	جبکہ واضح حدیث (صلی اللہ علیہ والہ وسلم) ہاتھـ کے نیچے والے سے اوپروالاہاتھـ بہترہے نیچے والاہاتھـ مانگنے والااوراوپروالاہاتھـ دینے والاہے۔	Although there is an evident saying of the Prophet (P.B.U.H) that the hand above is better than the hand below and the hand above is the giving hand the lower is the taking hand.	However there is a clear Hadith (SAAW) that the upper hand is better than the lower hand since the lower hand is the begging one and the upper hand is the giving one.	Whereas there is a clear Hadith of the Prophet (SAWS) that says that the upper hand is better than the lower hand; the lower hand being the begging hand and the upper hand being the giving one.	Where as in Hadis(saleallah huwa salam) preaches instead of down peoples upper peoples are greater god gives them.	-142.699	-159.452	-177.103	-179.544	-146.336	-159.52	-177.838	-180.268
urd-wl-84-174269-11325249-post1__9	اللہ تعالی ہم پراپناکرم کرے اورہم کوسچامسلمان بنائے (آمین ثم آمین)	Allah have mercy on us and make us true Muslims ( Amen)	May Allah bless us and make us true Muslims (Amen)	May Allah have mercy on us and make us true Muslims (Amen, Amen)	Allah should show mercy on us a true Muslim( Ameen Suma Ameen)	-86.6908	-79.3869	-123.383	-192.335	-86.0828	-80.5963	-124.059	-192.842
urd-wl-84-174269-11325249-post1__10	والسلام	Wassalam	Wassalam	WasSalam	WalekumSalam	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141
urd-wl-84-174269-11325249-post1__11	جاویداقبال	Javed Iqbal	Javed Iqbal	Jawed Iqbal	Javed Iqbal	-50.5469	-50.5469	-82.828	-50.5469	-50.5469	-50.5469	-82.828	-50.5469
urd-wl-86-174276-11370234-post1__1	ممتاز گلوکار عدنان سمیع پر ان کی اہلیہ نے تشدد کرنے کا الزام عائد کرتے ہوئے ممبئی کے ایک تھانے پہنچ گئیں	Wife of famous singer Adnan Sami, reached a police station in Bombay accusing him of torturing her.	The wife of famous singer Adnan Sami approached a Police Station in Mumbai, accusing him of torture.	Famous singer Adnan Sami's wife reached a police station in Mumbai, accusing him of torturing her.	The wife of famous singer Adnan Sami reached went to police station for blaming him of torturing her	-107.491	-103.119	-139.508	-111.094	-108.134	-102.854	-140.189	-110.681
urd-wl-86-174276-11370234-post1__2	،تھانے نے انہیں عدالت سے رجوع کرنے کی ہدایت کی ہے۔	The police station suggester her to contact Court.	The Police Station advised her to approach the court.	The Police station advised her to contact a court.	, police has advised her to consult the court.	-62.4579	-28.2808	-29.9801	-28.8867	-63.0096	-27.255	-30.6013	-29.9898
urd-wl-86-174276-11370234-post1__3	عدنان سمیع کی بیوی صباء گلاداری نے اپنے شوہر کے خلاف درخواست دی کہ عدنان سمیع ان پر مسلسل تشدد کرتے ہیں	Adnan Sami's wife Saba Guladari submitted a plea against her husband that Adnan Sami tortures her continuously.	Saba Galadari the wife of Adnan Sami gave an application against her husband that Adnan Sami continuously tortures her	Adnan Sami's wife Saba Giladari gave a complaint against her husband saying that he continuously tortures her.	Saba Galadari wife of Adnan Sami has filed an application against him that Adnan Sami continuously tortures her	-252.53	-221.355	-207.302	-220.423	-253.228	-220.329	-207.382	-220.317
urd-wl-86-174276-11370234-post1__4	اور غیر انسانی سلوک روا رکھے ہوئے ہیں،	and treats her inhumanely.	and he is also administering in human behavior against her.	and that he treats her in a non-human manner.	and behaves inhumanly,	-19.7597	-67.1801	-65.4365	-50.3239	-20.7385	-67.7689	-65.5797	-51.1112
urd-wl-86-174276-11370234-post1__5	اب یہ بات ان کی برداشت سے باہر ہوگئی ہے لہٰذا عدنان سمیع کے خلاف مقدمہ درج کیا جائے	Now this has exceeded her tolerance limit therefore a case should be recorded against Adnan Sami.	Now this thing has gone out of her tolerance, therefore, a case may be registered against Adnan Sami.	Now, it has become difficult for her to bear, and that is why she has filed a case against him.	Now she is fed up of this therefore case must be filed against him	-124.793	-128.484	-45.4045	-39.0014	-124.407	-128.128	-44.7211	-41.4506
urd-wl-86-174276-11370234-post1__6	،پولیس نے مقدمہ درج کرنے کی بجائے یہ کہہ کر انہیں عدالت سے رجوع کرنے کی ہدایت کی کہ یہ معاملہ قابل دست اندازی پولیس نہیں ہے۔	Police instead of recording a report suggested that she should contact the court by saying that this matter is not what comes under police control.	Police station has advised her to approach the court instead of registering the case, on the plea that the case is not within the valid jurisdiction of police station	The police, instead of filing a case, told her to contact a court, saying that this matter was not one in which the police could put their hands.	, in place of filing case police asked her to consult the court by saying that this case is not under the jurisdiction of police.	-64.4688	-81.7146	-76.4831	-65.5487	-65.071	-84.4075	-74.7296	-64.6091
urd-wl-86-174276-11370234-post1__7	آپ کے خیال میں عدنان سمیع پر ان کی اہلیہ کا الزام درست ہے؟	In your opinion, is the accusation of Adnan Sami's wife on him is correct?	Do you think that the accusation on Adnan Sami by his wife is correct?	In your opinion, is the accusation against Adnan Sami, by his wife proper?	In your opinion the blame of Adnan Sami's wife on him is true?	-116.074	-77.8981	-79.4168	-117.153	-115.423	-75.9012	-79.0118	-117.742
urd-wl-86-174276-11370234-post1__8	کہیں یہ الزام عدنان سمیع کو بدنام کرنے کی بھارتی کوشش تو نہیں؟	What if this accusation is an attempt of tarnishing the name of Adnan Sami?	Can this accusation is an attempt of India to defame Adnan Sami?	This is not an Indian effort to disgrace Adnan Sami, is it?	Is it not an attempt of India to defame Adnan Sami?	-111.106	-110.966	-74.8927	-108.14	-110.49	-109.943	-74.3502	-104.68
urd-wl-86-174276-11370234-post1__9	اس بارے میں اپنی رائے سے آگاہ کریں۔	Let us know of your comments regarding this matter.	Inform us about your opinion on the Subject.	Let us know about your opinion on this issue.	Do inform us with your opinion in this regard.	-18.3258	-20.2003	-17.0041	-21.3586	-15.9416	-17.3851	-14.3024	-22.1391
urd-wl-86-174276-11370234-post5__1	-آدم سانگھڑ،مہر۔	Adam Saanghar, stamp.	Adam Sanghar, Mehr.	Adam, Sanghad, Mehr	Adam Sanghar, Meher	-52.6274	-87.2695	-57.012	-87.2695	-52.6274	-87.2695	-57.012	-87.2695
urd-wl-86-174276-11370234-post5__2	جہاں تک الزامات کا تعلق ہے تو کوئی بھی انسان دوسرے پہ لگا سکتا ہے	as far as blames concern so any man can do on other.	as far as allegations are concerned, anyone can post it on someone else.	As far as accusations go, any person can accuse the other.	As far as the allegations are concerned, anyone can levy them on any other person.	-38.9291	-37.3309	-31.6478	-39.7288	-37.6217	-37.5171	-31.2927	-38.5541
urd-wl-86-174276-11370234-post5__3	عزت سے بڑھ کے کوئی چیز نہیں ہے	nothing more important than respect.	nothing comes before prestige.	To get enraged for honor is not sensible.	There is nothing superior to honor.	-13.1128	-16.5262	-64.6634	-54.2092	-12.3605	-16.8983	-65.0971	-53.8167
urd-wl-86-174276-11370234-post5__4	موجودہ بیوی اور عدنان سمیع کے تعلق کچھ بھی ہوں عدنان سمیع اپنی عزت کی زندگی چھوڑ کر پیسہ کمانے بھارت گیا تھا،اب وہی شہرت اس کے گلے پڑگئی ہے	what so ever relation of present wife and Adnan Samih , Adnan Samih leave his respected life and went India to earn money, now this popularity made hurdle for him.	however may be the relations between Adnan Sami and his present wife, he left his respectful life and went to India to make money and now this fame has caught him badly.	Whatever be the case between Adnan Sami and his present wife, he had left his honorable life and went to India to earn money. Now that fame has fallen around his neck.	Whatever is the current state of relations between Adnan Sami and his wife, Adnan Sami left his respectable life and went to India to earn a fortune. The same fame has now importuned him.	-259.362	-145.968	-187.101	-218.21	-260.207	-145.996	-184.818	-216.996
urd-wl-86-174276-11370234-post5__5	یہ اس کی اپنی حرکتوں کا خمیازہ ہے	this is due to his own deed.	this is a consequence of his own deeds.	This is the result of his own actions.	It is the outcome of his wrong doings.	-16.5418	-16.5553	-14.0616	-55.5809	-15.2368	-15.7622	-12.3021	-56.1517
urd-wl-86-174276-11370236-post1__1	واشنگٹن…	Washington.	Washington...	Washington...	Washington	-6.68104	-42.7141	-42.7141	-7.11026	-6.68104	-42.7141	-42.7141	-7.11026
